province_id;kind;terrain_index;terrain_category
1;land;0;grasslands
2;land;16;glacier
3;land;16;glacier
4;land;16;glacier
5;land;16;glacier
6;land;16;glacier
7;land;16;glacier
8;land;16;glacier
9;land;16;glacier
10;land;16;glacier
11;land;16;glacier
12;land;16;glacier
13;land;16;glacier
14;land;16;glacier
15;land;16;glacier
16;land;16;glacier
17;land;16;glacier
18;land;16;glacier
19;land;16;glacier
20;land;16;glacier
21;land;16;glacier
22;land;16;glacier
23;land;16;glacier
24;land;16;glacier
25;land;16;glacier
26;land;16;glacier
27;land;16;glacier
28;land;16;glacier
29;land;0;grasslands
30;land;0;grasslands
31;land;0;grasslands
32;land;0;grasslands
33;land;6;mountain
34;land;6;mountain
35;land;6;mountain
36;land;6;mountain
37;land;6;mountain
38;land;6;mountain
39;land;6;mountain
40;land;6;mountain
41;land;6;mountain
42;land;6;mountain
43;land;6;mountain
44;land;6;mountain
45;land;6;mountain
46;land;6;mountain
47;land;6;mountain
48;land;6;mountain
49;land;6;mountain
50;land;0;grasslands
51;land;6;mountain
52;land;6;mountain
53;land;6;mountain
54;land;6;mountain
55;land;6;mountain
56;land;6;mountain
57;land;6;mountain
58;land;6;mountain
59;land;6;mountain
60;land;12;forest
61;land;12;forest
62;land;12;forest
63;land;12;forest
64;land;12;forest
65;land;12;forest
66;land;12;forest
67;land;6;mountain
68;land;6;mountain
69;land;6;mountain
70;land;6;mountain
71;land;6;mountain
72;land;12;forest
73;land;12;forest
74;land;12;forest
75;land;12;forest
76;land;12;forest
77;land;12;forest
78;land;6;mountain
79;land;6;mountain
80;land;12;forest
81;land;12;forest
82;land;12;forest
83;land;12;forest
84;land;12;forest
85;land;12;forest
86;land;12;forest
87;land;12;forest
88;land;10;farmlands
89;land;10;farmlands
90;land;12;forest
91;land;12;forest
92;land;12;forest
93;land;12;forest
94;land;12;forest
95;land;12;forest
96;land;12;forest
97;land;10;farmlands
98;land;255;woods
99;land;255;woods
100;land;255;woods
101;land;0;grasslands
102;land;0;grasslands
103;land;255;woods
104;land;6;mountain
105;land;1;hills
106;land;0;grasslands
107;land;0;grasslands
108;land;0;grasslands
109;land;0;grasslands
110;land;0;grasslands
111;land;0;grasslands
112;land;0;grasslands
113;land;12;forest
114;land;12;forest
115;land;0;grasslands
116;land;0;grasslands
117;land;0;grasslands
118;land;12;forest
119;land;0;grasslands
120;land;6;mountain
121;land;6;mountain
122;land;6;mountain
123;land;1;hills
124;land;1;hills
125;land;1;hills
126;land;6;mountain
127;land;12;forest
128;land;12;forest
129;land;12;forest
130;land;12;forest
131;land;6;mountain
132;land;1;hills
133;land;1;hills
134;land;1;hills
135;land;1;hills
136;land;1;hills
137;land;1;hills
138;land;1;hills
139;land;1;hills
140;land;12;forest
141;land;12;forest
142;land;12;forest
143;land;12;forest
144;land;1;hills
145;land;12;forest
146;land;1;hills
147;land;1;hills
148;land;6;mountain
149;land;6;mountain
150;land;1;hills
151;land;1;hills
152;land;1;hills
153;land;1;hills
154;land;1;hills
155;land;1;hills
156;land;1;hills
157;land;12;forest
158;land;0;grasslands
159;land;6;mountain
160;land;6;mountain
161;land;6;mountain
162;land;12;forest
163;land;12;forest
164;land;1;hills
165;land;1;hills
166;land;1;hills
167;land;1;hills
168;land;1;hills
169;land;1;hills
170;land;1;hills
171;land;9;marsh
172;land;9;marsh
173;land;0;grasslands
174;land;12;forest
175;land;12;forest
176;land;12;forest
177;land;9;marsh
178;land;6;mountain
179;land;6;mountain
180;land;255;woods
181;land;0;grasslands
182;land;12;forest
183;land;12;forest
184;land;12;forest
185;land;12;forest
186;land;12;forest
187;land;12;forest
188;land;12;forest
189;land;12;forest
190;land;255;woods
191;land;6;mountain
192;land;6;mountain
193;land;12;forest
194;land;12;forest
195;land;1;hills
196;land;1;hills
197;land;0;grasslands
198;land;255;woods
199;land;255;woods
200;land;0;grasslands
201;land;0;grasslands
202;land;0;grasslands
203;land;0;grasslands
204;land;0;grasslands
205;land;0;grasslands
206;land;0;grasslands
207;land;1;hills
208;land;1;hills
209;land;1;hills
210;land;1;hills
211;land;1;hills
212;land;1;hills
213;land;1;hills
214;land;1;hills
215;land;1;hills
216;land;1;hills
217;land;1;hills
218;land;1;hills
219;land;1;hills
220;land;12;forest
221;land;6;mountain
222;land;6;mountain
223;land;1;hills
224;land;1;hills
225;land;1;hills
226;land;1;hills
227;land;1;hills
228;land;1;hills
229;land;1;hills
